inputs=128 keys=18 outputs=1 gates=181
iteration: 1; vars: 1250; clauses: 611; decisions: 586
iteration: 2; vars: 1610; clauses: 1381; decisions: 782
iteration: 3; vars: 1970; clauses: 2151; decisions: 970
iteration: 4; vars: 2330; clauses: 852; decisions: 1137
iteration: 5; vars: 2690; clauses: 1622; decisions: 1267
iteration: 6; vars: 3050; clauses: 2392; decisions: 1448
iteration: 7; vars: 3410; clauses: 1055; decisions: 1603
iteration: 8; vars: 3770; clauses: 1825; decisions: 1783
iteration: 9; vars: 4130; clauses: 2595; decisions: 1956
iteration: 10; vars: 4490; clauses: 1278; decisions: 2101
iteration: 11; vars: 4850; clauses: 2048; decisions: 2264
iteration: 12; vars: 5210; clauses: 2818; decisions: 2472
iteration: 13; vars: 5570; clauses: 3588; decisions: 2562
iteration: 14; vars: 5930; clauses: 1585; decisions: 2722
iteration: 15; vars: 6290; clauses: 2355; decisions: 2848
iteration: 16; vars: 6650; clauses: 3125; decisions: 2957
iteration: 17; vars: 7010; clauses: 3895; decisions: 3076
iteration: 18; vars: 7370; clauses: 1866; decisions: 3268
iteration: 19; vars: 7730; clauses: 2636; decisions: 3551
iteration: 20; vars: 8090; clauses: 3406; decisions: 3632
iteration: 21; vars: 8450; clauses: 4176; decisions: 3773
iteration: 22; vars: 8810; clauses: 2125; decisions: 3958
iteration: 23; vars: 9170; clauses: 2895; decisions: 4054
iteration: 24; vars: 9530; clauses: 3665; decisions: 4163
iteration: 25; vars: 9890; clauses: 4435; decisions: 4211
iteration: 26; vars: 10250; clauses: 5205; decisions: 4301
iteration: 27; vars: 10610; clauses: 2494; decisions: 4625
iteration: 28; vars: 10970; clauses: 3264; decisions: 4725
iteration: 29; vars: 11330; clauses: 4034; decisions: 4844
iteration: 30; vars: 11690; clauses: 4804; decisions: 4987
iteration: 31; vars: 12050; clauses: 5574; decisions: 5075
iteration: 32; vars: 12410; clauses: 2820; decisions: 5247
iteration: 33; vars: 12770; clauses: 3590; decisions: 5343
iteration: 34; vars: 13130; clauses: 4360; decisions: 5417
iteration: 35; vars: 13490; clauses: 5130; decisions: 5540
iteration: 36; vars: 13850; clauses: 5900; decisions: 5809
iteration: 37; vars: 14210; clauses: 3209; decisions: 6039
iteration: 38; vars: 14570; clauses: 3979; decisions: 6190
iteration: 39; vars: 14930; clauses: 4749; decisions: 6366
iteration: 40; vars: 15290; clauses: 5519; decisions: 6437
iteration: 41; vars: 15650; clauses: 6289; decisions: 6733
iteration: 42; vars: 16010; clauses: 7059; decisions: 6841
iteration: 43; vars: 16370; clauses: 3554; decisions: 7022
iteration: 44; vars: 16730; clauses: 4324; decisions: 7092
iteration: 45; vars: 17090; clauses: 5094; decisions: 7179
iteration: 46; vars: 17450; clauses: 5864; decisions: 7304
iteration: 47; vars: 17810; clauses: 6634; decisions: 7375
iteration: 48; vars: 18170; clauses: 7404; decisions: 7474
iteration: 49; vars: 18530; clauses: 8174; decisions: 7603
iteration: 50; vars: 18890; clauses: 2909; decisions: 7662
iteration: 51; vars: 19250; clauses: 3677; decisions: 7695
iteration: 52; vars: 19610; clauses: 4445; decisions: 7801
iteration: 53; vars: 19970; clauses: 5213; decisions: 7913
iteration: 54; vars: 20330; clauses: 5981; decisions: 8100
iteration: 55; vars: 20690; clauses: 201; decisions: 8120
iteration: 56; vars: 21050; clauses: 923; decisions: 8138
iteration: 57; vars: 21410; clauses: 1639; decisions: 8151
finished solver loop. fail_count = 0
key=101100111000001110
iteration=57; backbones_count=0; cube_count=52218; cpu_time=0.967562; maxrss=5.375
