inputs=128 keys=20 outputs=1 gates=187
iteration: 1; vars: 1290; clauses: 660; decisions: 410
iteration: 2; vars: 1662; clauses: 1474; decisions: 640
iteration: 3; vars: 2034; clauses: 2288; decisions: 740
iteration: 4; vars: 2406; clauses: 918; decisions: 938
iteration: 5; vars: 2778; clauses: 1732; decisions: 1089
iteration: 6; vars: 3150; clauses: 2546; decisions: 1254
iteration: 7; vars: 3522; clauses: 1183; decisions: 1413
iteration: 8; vars: 3894; clauses: 1997; decisions: 1563
iteration: 9; vars: 4266; clauses: 2811; decisions: 1711
iteration: 10; vars: 4638; clauses: 3625; decisions: 1843
iteration: 11; vars: 5010; clauses: 1440; decisions: 2000
iteration: 12; vars: 5382; clauses: 2254; decisions: 2125
iteration: 13; vars: 5754; clauses: 3068; decisions: 2326
iteration: 14; vars: 6126; clauses: 3882; decisions: 2483
iteration: 15; vars: 6498; clauses: 1751; decisions: 2620
iteration: 16; vars: 6870; clauses: 2565; decisions: 2753
iteration: 17; vars: 7242; clauses: 3379; decisions: 2882
iteration: 18; vars: 7614; clauses: 4193; decisions: 3038
iteration: 19; vars: 7986; clauses: 2067; decisions: 3192
iteration: 20; vars: 8358; clauses: 2881; decisions: 3310
iteration: 21; vars: 8730; clauses: 3695; decisions: 3433
iteration: 22; vars: 9102; clauses: 4509; decisions: 3562
iteration: 23; vars: 9474; clauses: 2437; decisions: 3715
iteration: 24; vars: 9846; clauses: 3251; decisions: 3812
iteration: 25; vars: 10218; clauses: 4065; decisions: 3917
iteration: 26; vars: 10590; clauses: 4879; decisions: 3970
iteration: 27; vars: 10962; clauses: 5693; decisions: 4102
iteration: 28; vars: 11334; clauses: 2812; decisions: 4271
iteration: 29; vars: 11706; clauses: 3626; decisions: 4434
iteration: 30; vars: 12078; clauses: 4440; decisions: 4570
iteration: 31; vars: 12450; clauses: 5254; decisions: 4765
iteration: 32; vars: 12822; clauses: 6068; decisions: 4881
iteration: 33; vars: 13194; clauses: 3193; decisions: 5042
iteration: 34; vars: 13566; clauses: 4007; decisions: 5152
iteration: 35; vars: 13938; clauses: 4821; decisions: 5280
iteration: 36; vars: 14310; clauses: 5635; decisions: 5421
iteration: 37; vars: 14682; clauses: 6449; decisions: 5559
iteration: 38; vars: 15054; clauses: 3592; decisions: 5700
iteration: 39; vars: 15426; clauses: 4406; decisions: 5855
iteration: 40; vars: 15798; clauses: 5220; decisions: 6045
iteration: 41; vars: 16170; clauses: 6034; decisions: 6175
iteration: 42; vars: 16542; clauses: 6848; decisions: 6312
iteration: 43; vars: 16914; clauses: 7662; decisions: 6472
iteration: 44; vars: 17286; clauses: 4105; decisions: 6715
iteration: 45; vars: 17658; clauses: 4919; decisions: 6827
iteration: 46; vars: 18030; clauses: 5733; decisions: 6955
iteration: 47; vars: 18402; clauses: 6547; decisions: 7082
iteration: 48; vars: 18774; clauses: 7361; decisions: 7207
iteration: 49; vars: 19146; clauses: 8175; decisions: 7355
iteration: 50; vars: 19518; clauses: 4632; decisions: 7449
iteration: 51; vars: 19890; clauses: 5446; decisions: 7590
iteration: 52; vars: 20262; clauses: 6260; decisions: 7668
iteration: 53; vars: 20634; clauses: 7074; decisions: 7757
iteration: 54; vars: 21006; clauses: 7888; decisions: 7898
iteration: 55; vars: 21378; clauses: 8702; decisions: 8019
iteration: 56; vars: 21750; clauses: 9516; decisions: 8128
iteration: 57; vars: 22122; clauses: 5206; decisions: 8182
iteration: 58; vars: 22494; clauses: 6020; decisions: 8359
iteration: 59; vars: 22866; clauses: 6834; decisions: 8487
iteration: 60; vars: 23238; clauses: 7648; decisions: 8801
iteration: 61; vars: 23610; clauses: 8462; decisions: 9113
iteration: 62; vars: 23982; clauses: 9276; decisions: 9150
iteration: 63; vars: 24354; clauses: 10090; decisions: 9342
iteration: 64; vars: 24726; clauses: 5684; decisions: 9389
iteration: 65; vars: 25098; clauses: 6498; decisions: 9802
iteration: 66; vars: 25470; clauses: 7298; decisions: 9895
iteration: 67; vars: 25842; clauses: 8098; decisions: 10135
iteration: 68; vars: 26214; clauses: 8898; decisions: 10287
iteration: 69; vars: 26586; clauses: 9698; decisions: 10466
iteration: 70; vars: 26958; clauses: 10498; decisions: 10496
iteration: 71; vars: 27330; clauses: 11298; decisions: 10575
iteration: 72; vars: 27702; clauses: 12096; decisions: 10632
iteration: 73; vars: 28074; clauses: 12894; decisions: 10666
finished solver loop. fail_count = 0
key=10110011100000111011
iteration=73; backbones_count=0; cube_count=69838; cpu_time=1.00896; maxrss=4.71094
