inputs=128 keys=28 outputs=1 gates=211
iteration: 1; vars: 1450; clauses: 892; decisions: 561
iteration: 2; vars: 1870; clauses: 1882; decisions: 822
iteration: 3; vars: 2290; clauses: 1156; decisions: 1139
iteration: 4; vars: 2710; clauses: 2146; decisions: 1488
iteration: 5; vars: 3130; clauses: 3136; decisions: 1673
iteration: 6; vars: 3550; clauses: 1527; decisions: 2132
iteration: 7; vars: 3970; clauses: 2517; decisions: 2307
iteration: 8; vars: 4390; clauses: 3507; decisions: 2550
iteration: 9; vars: 4810; clauses: 1892; decisions: 2946
iteration: 10; vars: 5230; clauses: 2882; decisions: 3108
iteration: 11; vars: 5650; clauses: 3872; decisions: 3423
iteration: 12; vars: 6070; clauses: 2292; decisions: 3645
iteration: 13; vars: 6490; clauses: 3282; decisions: 3802
iteration: 14; vars: 6910; clauses: 4272; decisions: 4024
iteration: 15; vars: 7330; clauses: 5262; decisions: 4230
iteration: 16; vars: 7750; clauses: 2774; decisions: 4409
iteration: 17; vars: 8170; clauses: 3764; decisions: 4578
iteration: 18; vars: 8590; clauses: 4754; decisions: 4811
iteration: 19; vars: 9010; clauses: 5744; decisions: 5214
iteration: 20; vars: 9430; clauses: 3341; decisions: 5429
iteration: 21; vars: 9850; clauses: 4331; decisions: 5576
iteration: 22; vars: 10270; clauses: 5321; decisions: 5794
iteration: 23; vars: 10690; clauses: 6311; decisions: 5991
iteration: 24; vars: 11110; clauses: 3811; decisions: 6147
iteration: 25; vars: 11530; clauses: 4801; decisions: 6485
iteration: 26; vars: 11950; clauses: 5791; decisions: 6638
iteration: 27; vars: 12370; clauses: 6781; decisions: 6943
iteration: 28; vars: 12790; clauses: 7771; decisions: 7157
iteration: 29; vars: 13210; clauses: 4292; decisions: 7591
iteration: 30; vars: 13630; clauses: 5282; decisions: 7721
iteration: 31; vars: 14050; clauses: 6272; decisions: 7859
iteration: 32; vars: 14470; clauses: 7262; decisions: 8018
iteration: 33; vars: 14890; clauses: 8252; decisions: 8149
iteration: 34; vars: 15310; clauses: 4764; decisions: 8327
iteration: 35; vars: 15730; clauses: 5754; decisions: 8457
iteration: 36; vars: 16150; clauses: 6744; decisions: 8607
iteration: 37; vars: 16570; clauses: 7734; decisions: 8714
iteration: 38; vars: 16990; clauses: 8724; decisions: 8932
iteration: 39; vars: 17410; clauses: 5364; decisions: 9041
iteration: 40; vars: 17830; clauses: 6354; decisions: 9172
iteration: 41; vars: 18250; clauses: 7344; decisions: 9354
iteration: 42; vars: 18670; clauses: 8334; decisions: 9607
iteration: 43; vars: 19090; clauses: 9324; decisions: 9759
iteration: 44; vars: 19510; clauses: 10314; decisions: 9888
iteration: 45; vars: 19930; clauses: 6031; decisions: 9992
iteration: 46; vars: 20350; clauses: 7021; decisions: 10357
iteration: 47; vars: 20770; clauses: 8011; decisions: 10527
iteration: 48; vars: 21190; clauses: 9001; decisions: 11119
iteration: 49; vars: 21610; clauses: 9991; decisions: 11313
iteration: 50; vars: 22030; clauses: 10981; decisions: 11420
iteration: 51; vars: 22450; clauses: 6702; decisions: 11733
iteration: 52; vars: 22870; clauses: 7692; decisions: 11895
