inputs=128 keys=58 outputs=1 gates=301
iteration: 1; vars: 2050; clauses: 1762; decisions: 1122
iteration: 2; vars: 2650; clauses: 3412; decisions: 1602
iteration: 3; vars: 3250; clauses: 2286; decisions: 2167
iteration: 4; vars: 3850; clauses: 3936; decisions: 2634
iteration: 5; vars: 4450; clauses: 2764; decisions: 3131
iteration: 6; vars: 5050; clauses: 4414; decisions: 3792
iteration: 7; vars: 5650; clauses: 3387; decisions: 4040
iteration: 8; vars: 6250; clauses: 5037; decisions: 4292
iteration: 9; vars: 6850; clauses: 6687; decisions: 4991
iteration: 10; vars: 7450; clauses: 4257; decisions: 5221
iteration: 11; vars: 8050; clauses: 5907; decisions: 5542
iteration: 12; vars: 8650; clauses: 7557; decisions: 5892
iteration: 13; vars: 9250; clauses: 5065; decisions: 6770
iteration: 14; vars: 9850; clauses: 6715; decisions: 7433
iteration: 15; vars: 10450; clauses: 8365; decisions: 8131
iteration: 16; vars: 11050; clauses: 5878; decisions: 8372
iteration: 17; vars: 11650; clauses: 7528; decisions: 8587
iteration: 18; vars: 12250; clauses: 9178; decisions: 8808
iteration: 19; vars: 12850; clauses: 10828; decisions: 9818
iteration: 20; vars: 13450; clauses: 6911; decisions: 10091
iteration: 21; vars: 14050; clauses: 8561; decisions: 10416
iteration: 22; vars: 14650; clauses: 10211; decisions: 10626
iteration: 23; vars: 15250; clauses: 11861; decisions: 10940
iteration: 24; vars: 15850; clauses: 7921; decisions: 11255
iteration: 25; vars: 16450; clauses: 9571; decisions: 11587
iteration: 26; vars: 17050; clauses: 11221; decisions: 11860
iteration: 27; vars: 17650; clauses: 12871; decisions: 12202
iteration: 28; vars: 18250; clauses: 14521; decisions: 12440
iteration: 29; vars: 18850; clauses: 9197; decisions: 12679
iteration: 30; vars: 19450; clauses: 10847; decisions: 12867
iteration: 31; vars: 20050; clauses: 12497; decisions: 13184
iteration: 32; vars: 20650; clauses: 14147; decisions: 13408
iteration: 33; vars: 21250; clauses: 15797; decisions: 13667
iteration: 34; vars: 21850; clauses: 10384; decisions: 15079
iteration: 35; vars: 22450; clauses: 12034; decisions: 15570
iteration: 36; vars: 23050; clauses: 13684; decisions: 16239
iteration: 37; vars: 23650; clauses: 15334; decisions: 16509
iteration: 38; vars: 24250; clauses: 16984; decisions: 16712
iteration: 39; vars: 24850; clauses: 18634; decisions: 16898
iteration: 40; vars: 25450; clauses: 11817; decisions: 17272
iteration: 41; vars: 26050; clauses: 13467; decisions: 17564
iteration: 42; vars: 26650; clauses: 15117; decisions: 17770
iteration: 43; vars: 27250; clauses: 16767; decisions: 18179
iteration: 44; vars: 27850; clauses: 18417; decisions: 18444
iteration: 45; vars: 28450; clauses: 20067; decisions: 18648
iteration: 46; vars: 29050; clauses: 13313; decisions: 18837
iteration: 47; vars: 29650; clauses: 14963; decisions: 19143
iteration: 48; vars: 30250; clauses: 16613; decisions: 19397
iteration: 49; vars: 30850; clauses: 18263; decisions: 20167
iteration: 50; vars: 31450; clauses: 19913; decisions: 20434
iteration: 51; vars: 32050; clauses: 21563; decisions: 21353
iteration: 52; vars: 32650; clauses: 23213; decisions: 22431
iteration: 53; vars: 33250; clauses: 14908; decisions: 22618
iteration: 54; vars: 33850; clauses: 16558; decisions: 22935
iteration: 55; vars: 34450; clauses: 18208; decisions: 23725
iteration: 56; vars: 35050; clauses: 19858; decisions: 23938
iteration: 57; vars: 35650; clauses: 21508; decisions: 24145
iteration: 58; vars: 36250; clauses: 23158; decisions: 24811
