inputs=128 keys=36 outputs=1 gates=235
iteration: 1; vars: 1610; clauses: 1133; decisions: 857
iteration: 2; vars: 2078; clauses: 2299; decisions: 1113
iteration: 3; vars: 2546; clauses: 1457; decisions: 1756
iteration: 4; vars: 3014; clauses: 2623; decisions: 2032
iteration: 5; vars: 3482; clauses: 3789; decisions: 2240
iteration: 6; vars: 3950; clauses: 1907; decisions: 2454
iteration: 7; vars: 4418; clauses: 3073; decisions: 2654
iteration: 8; vars: 4886; clauses: 4239; decisions: 3087
iteration: 9; vars: 5354; clauses: 2335; decisions: 3311
iteration: 10; vars: 5822; clauses: 3501; decisions: 3634
iteration: 11; vars: 6290; clauses: 4667; decisions: 3831
iteration: 12; vars: 6758; clauses: 2874; decisions: 4279
iteration: 13; vars: 7226; clauses: 4040; decisions: 4495
iteration: 14; vars: 7694; clauses: 5206; decisions: 4775
iteration: 15; vars: 8162; clauses: 3417; decisions: 5178
iteration: 16; vars: 8630; clauses: 4583; decisions: 5453
iteration: 17; vars: 9098; clauses: 5749; decisions: 5673
iteration: 18; vars: 9566; clauses: 6915; decisions: 5913
iteration: 19; vars: 10034; clauses: 4070; decisions: 6073
iteration: 20; vars: 10502; clauses: 5236; decisions: 6240
iteration: 21; vars: 10970; clauses: 6402; decisions: 6482
iteration: 22; vars: 11438; clauses: 7568; decisions: 6947
iteration: 23; vars: 11906; clauses: 4766; decisions: 7098
iteration: 24; vars: 12374; clauses: 5932; decisions: 7264
iteration: 25; vars: 12842; clauses: 7098; decisions: 7695
iteration: 26; vars: 13310; clauses: 8264; decisions: 7858
iteration: 27; vars: 13778; clauses: 9430; decisions: 8375
iteration: 28; vars: 14246; clauses: 5624; decisions: 8532
iteration: 29; vars: 14714; clauses: 6790; decisions: 8923
iteration: 30; vars: 15182; clauses: 7956; decisions: 9108
iteration: 31; vars: 15650; clauses: 9122; decisions: 9260
iteration: 32; vars: 16118; clauses: 10288; decisions: 9481
iteration: 33; vars: 16586; clauses: 6362; decisions: 9733
iteration: 34; vars: 17054; clauses: 7528; decisions: 9911
iteration: 35; vars: 17522; clauses: 8694; decisions: 10082
iteration: 36; vars: 17990; clauses: 9860; decisions: 10242
iteration: 37; vars: 18458; clauses: 11026; decisions: 10387
