inputs=128 keys=89 outputs=1 gates=394
iteration: 1; vars: 2670; clauses: 2576; decisions: 275
iteration: 2; vars: 3456; clauses: 4544; decisions: 1082
iteration: 3; vars: 4242; clauses: 3214; decisions: 1370
iteration: 4; vars: 5028; clauses: 5286; decisions: 1665
iteration: 5; vars: 5814; clauses: 4313; decisions: 2234
iteration: 6; vars: 6600; clauses: 6385; decisions: 2731
iteration: 7; vars: 7386; clauses: 5367; decisions: 3116
iteration: 8; vars: 8172; clauses: 7439; decisions: 5010
iteration: 9; vars: 8958; clauses: 9483; decisions: 6020
iteration: 10; vars: 9744; clauses: 6865; decisions: 6324
iteration: 11; vars: 10530; clauses: 8901; decisions: 6628
iteration: 12; vars: 11316; clauses: 10937; decisions: 7345
iteration: 13; vars: 12102; clauses: 8209; decisions: 9191
iteration: 14; vars: 12888; clauses: 10241; decisions: 9501
iteration: 15; vars: 13674; clauses: 12273; decisions: 9986
iteration: 16; vars: 14460; clauses: 9347; decisions: 10396
iteration: 17; vars: 15246; clauses: 11379; decisions: 11039
iteration: 18; vars: 16032; clauses: 13407; decisions: 12047
iteration: 19; vars: 16818; clauses: 15415; decisions: 12352
iteration: 20; vars: 17604; clauses: 10714; decisions: 12769
iteration: 21; vars: 18390; clauses: 12726; decisions: 13228
iteration: 22; vars: 19176; clauses: 14738; decisions: 14969
iteration: 23; vars: 19962; clauses: 16750; decisions: 15291
iteration: 24; vars: 20748; clauses: 11906; decisions: 15591
iteration: 25; vars: 21534; clauses: 13922; decisions: 15890
iteration: 26; vars: 22320; clauses: 15942; decisions: 16627
iteration: 27; vars: 23106; clauses: 17954; decisions: 16975
iteration: 28; vars: 23892; clauses: 19966; decisions: 17853
iteration: 29; vars: 24678; clauses: 13471; decisions: 18150
iteration: 30; vars: 25464; clauses: 15483; decisions: 18755
iteration: 31; vars: 26250; clauses: 17491; decisions: 19766
iteration: 32; vars: 27036; clauses: 19507; decisions: 21002
iteration: 33; vars: 27822; clauses: 21519; decisions: 21470
iteration: 34; vars: 28608; clauses: 15002; decisions: 21769
iteration: 35; vars: 29394; clauses: 17010; decisions: 22550
iteration: 36; vars: 30180; clauses: 19022; decisions: 22845
iteration: 37; vars: 30966; clauses: 21034; decisions: 23598
iteration: 38; vars: 31752; clauses: 23038; decisions: 29390
iteration: 39; vars: 32538; clauses: 25058; decisions: 29781
iteration: 40; vars: 33324; clauses: 17041; decisions: 30058
iteration: 41; vars: 34110; clauses: 19069; decisions: 30506
iteration: 42; vars: 34896; clauses: 21097; decisions: 31847
iteration: 43; vars: 35682; clauses: 23113; decisions: 32839
iteration: 44; vars: 36468; clauses: 25133; decisions: 33132
iteration: 45; vars: 37254; clauses: 27153; decisions: 33422
iteration: 46; vars: 38040; clauses: 19311; decisions: 33705
iteration: 47; vars: 38826; clauses: 21331; decisions: 33992
iteration: 48; vars: 39612; clauses: 23351; decisions: 34290
iteration: 49; vars: 40398; clauses: 25371; decisions: 34744
iteration: 50; vars: 41184; clauses: 27391; decisions: 35030
iteration: 51; vars: 41970; clauses: 29411; decisions: 35409
iteration: 52; vars: 42756; clauses: 31435; decisions: 35759
iteration: 53; vars: 43542; clauses: 22221; decisions: 36213
iteration: 54; vars: 44328; clauses: 24245; decisions: 36620
iteration: 55; vars: 45114; clauses: 26269; decisions: 37104
iteration: 56; vars: 45900; clauses: 28289; decisions: 37434
iteration: 57; vars: 46686; clauses: 30305; decisions: 37729
iteration: 58; vars: 47472; clauses: 32321; decisions: 38957
iteration: 59; vars: 48258; clauses: 34333; decisions: 40004
iteration: 60; vars: 49044; clauses: 36341; decisions: 40304
iteration: 61; vars: 49830; clauses: 25326; decisions: 40594
iteration: 62; vars: 50616; clauses: 27334; decisions: 40894
iteration: 63; vars: 51402; clauses: 29342; decisions: 41190
iteration: 64; vars: 52188; clauses: 31350; decisions: 41573
iteration: 65; vars: 52974; clauses: 33358; decisions: 42241
iteration: 66; vars: 53760; clauses: 35358; decisions: 42550
iteration: 67; vars: 54546; clauses: 37358; decisions: 43554
iteration: 68; vars: 55332; clauses: 39358; decisions: 45027
iteration: 69; vars: 56118; clauses: 41366; decisions: 45943
iteration: 70; vars: 56904; clauses: 28465; decisions: 46452
iteration: 71; vars: 57690; clauses: 30469; decisions: 46751
iteration: 72; vars: 58476; clauses: 32473; decisions: 47034
iteration: 73; vars: 59262; clauses: 34469; decisions: 47753
iteration: 74; vars: 60048; clauses: 36473; decisions: 48187
iteration: 75; vars: 60834; clauses: 38481; decisions: 48466
iteration: 76; vars: 61620; clauses: 40489; decisions: 49291
iteration: 77; vars: 62406; clauses: 42497; decisions: 49789
iteration: 78; vars: 63192; clauses: 44505; decisions: 50733
iteration: 79; vars: 63978; clauses: 46505; decisions: 51036
iteration: 80; vars: 64764; clauses: 32180; decisions: 51313
iteration: 81; vars: 65550; clauses: 34184; decisions: 52713
iteration: 82; vars: 66336; clauses: 36224; decisions: 53232
iteration: 83; vars: 67122; clauses: 38252; decisions: 54645
iteration: 84; vars: 67908; clauses: 40288; decisions: 54944
iteration: 85; vars: 68694; clauses: 42324; decisions: 55359
iteration: 86; vars: 69480; clauses: 44360; decisions: 55777
iteration: 87; vars: 70266; clauses: 46396; decisions: 56206
iteration: 88; vars: 71052; clauses: 48432; decisions: 58108
iteration: 89; vars: 71838; clauses: 50456; decisions: 58875
iteration: 90; vars: 72624; clauses: 52484; decisions: 59188
iteration: 91; vars: 73410; clauses: 36650; decisions: 59485
iteration: 92; vars: 74196; clauses: 38678; decisions: 59790
iteration: 93; vars: 74982; clauses: 40706; decisions: 60759
iteration: 94; vars: 75768; clauses: 42730; decisions: 61054
iteration: 95; vars: 76554; clauses: 44754; decisions: 61833
iteration: 96; vars: 77340; clauses: 46778; decisions: 62497
iteration: 97; vars: 78126; clauses: 48802; decisions: 65107
iteration: 98; vars: 78912; clauses: 50814; decisions: 65627
iteration: 99; vars: 79698; clauses: 52826; decisions: 66066
iteration: 100; vars: 80484; clauses: 54838; decisions: 67044
iteration: 101; vars: 81270; clauses: 56850; decisions: 67633
iteration: 102; vars: 82056; clauses: 58862; decisions: 69283
iteration: 103; vars: 82842; clauses: 40629; decisions: 69652
iteration: 104; vars: 83628; clauses: 42641; decisions: 69985
iteration: 105; vars: 84414; clauses: 44657; decisions: 70416
iteration: 106; vars: 85200; clauses: 46681; decisions: 70841
iteration: 107; vars: 85986; clauses: 48705; decisions: 71268
iteration: 108; vars: 86772; clauses: 50729; decisions: 71895
iteration: 109; vars: 87558; clauses: 52749; decisions: 72510
iteration: 110; vars: 88344; clauses: 54769; decisions: 72912
iteration: 111; vars: 89130; clauses: 56789; decisions: 73204
iteration: 112; vars: 89916; clauses: 58809; decisions: 74043
iteration: 113; vars: 90702; clauses: 60825; decisions: 74663
iteration: 114; vars: 91488; clauses: 62845; decisions: 75553
iteration: 115; vars: 92274; clauses: 64857; decisions: 76091
iteration: 116; vars: 93060; clauses: 45677; decisions: 76767
iteration: 117; vars: 93846; clauses: 47689; decisions: 77932
iteration: 118; vars: 94632; clauses: 49701; decisions: 78422
iteration: 119; vars: 95418; clauses: 51717; decisions: 79235
iteration: 120; vars: 96204; clauses: 53729; decisions: 79745
iteration: 121; vars: 96990; clauses: 55745; decisions: 80718
iteration: 122; vars: 97776; clauses: 57761; decisions: 81219
iteration: 123; vars: 98562; clauses: 59777; decisions: 81844
iteration: 124; vars: 99348; clauses: 61793; decisions: 82147
iteration: 125; vars: 100134; clauses: 63809; decisions: 82977
iteration: 126; vars: 100920; clauses: 65825; decisions: 83405
iteration: 127; vars: 101706; clauses: 67841; decisions: 83712
iteration: 128; vars: 102492; clauses: 69857; decisions: 84130
iteration: 129; vars: 103278; clauses: 71873; decisions: 84951
iteration: 130; vars: 104064; clauses: 73893; decisions: 85540
iteration: 131; vars: 104850; clauses: 51366; decisions: 85840
iteration: 132; vars: 105636; clauses: 53394; decisions: 86300
iteration: 133; vars: 106422; clauses: 55422; decisions: 86755
iteration: 134; vars: 107208; clauses: 57450; decisions: 87478
iteration: 135; vars: 107994; clauses: 59478; decisions: 88647
iteration: 136; vars: 108780; clauses: 61498; decisions: 89701
iteration: 137; vars: 109566; clauses: 63526; decisions: 90029
iteration: 138; vars: 110352; clauses: 65554; decisions: 90710
iteration: 139; vars: 111138; clauses: 67582; decisions: 91402
iteration: 140; vars: 111924; clauses: 69610; decisions: 92639
iteration: 141; vars: 112710; clauses: 71638; decisions: 93785
iteration: 142; vars: 113496; clauses: 73658; decisions: 94284
iteration: 143; vars: 114282; clauses: 75686; decisions: 94637
iteration: 144; vars: 115068; clauses: 77710; decisions: 95161
iteration: 145; vars: 115854; clauses: 79734; decisions: 96145
iteration: 146; vars: 116640; clauses: 81758; decisions: 97814
iteration: 147; vars: 117426; clauses: 83770; decisions: 99072
iteration: 148; vars: 118212; clauses: 56678; decisions: 99349
iteration: 149; vars: 118998; clauses: 58702; decisions: 99703
iteration: 150; vars: 119784; clauses: 60726; decisions: 100010
iteration: 151; vars: 120570; clauses: 62750; decisions: 100759
iteration: 152; vars: 121356; clauses: 64774; decisions: 101303
iteration: 153; vars: 122142; clauses: 66802; decisions: 101701
iteration: 154; vars: 122928; clauses: 68826; decisions: 102263
iteration: 155; vars: 123714; clauses: 70854; decisions: 102628
iteration: 156; vars: 124500; clauses: 72882; decisions: 103823
iteration: 157; vars: 125286; clauses: 74906; decisions: 104251
iteration: 158; vars: 126072; clauses: 76930; decisions: 104536
iteration: 159; vars: 126858; clauses: 78950; decisions: 104972
iteration: 160; vars: 127644; clauses: 80970; decisions: 105274
iteration: 161; vars: 128430; clauses: 82990; decisions: 106084
iteration: 162; vars: 129216; clauses: 85010; decisions: 106942
iteration: 163; vars: 130002; clauses: 87026; decisions: 107332
iteration: 164; vars: 130788; clauses: 89042; decisions: 108060
iteration: 165; vars: 131574; clauses: 91066; decisions: 108384
iteration: 166; vars: 132360; clauses: 63951; decisions: 109269
iteration: 167; vars: 133146; clauses: 65979; decisions: 109569
iteration: 168; vars: 133932; clauses: 68003; decisions: 109853
iteration: 169; vars: 134718; clauses: 70027; decisions: 111703
iteration: 170; vars: 135504; clauses: 72051; decisions: 112030
iteration: 171; vars: 136290; clauses: 74079; decisions: 112858
iteration: 172; vars: 137076; clauses: 76107; decisions: 113654
iteration: 173; vars: 137862; clauses: 78139; decisions: 114674
iteration: 174; vars: 138648; clauses: 80163; decisions: 116460
iteration: 175; vars: 139434; clauses: 82191; decisions: 116804
iteration: 176; vars: 140220; clauses: 84223; decisions: 117218
iteration: 177; vars: 141006; clauses: 86259; decisions: 117680
iteration: 178; vars: 141792; clauses: 88295; decisions: 118202
iteration: 179; vars: 142578; clauses: 90335; decisions: 118685
iteration: 180; vars: 143364; clauses: 92371; decisions: 119136
iteration: 181; vars: 144150; clauses: 94403; decisions: 121317
iteration: 182; vars: 144936; clauses: 96435; decisions: 121874
iteration: 183; vars: 145722; clauses: 98463; decisions: 122291
iteration: 184; vars: 146508; clauses: 100491; decisions: 123602
iteration: 185; vars: 147294; clauses: 102523; decisions: 123900
iteration: 186; vars: 148080; clauses: 72146; decisions: 124281
iteration: 187; vars: 148866; clauses: 74182; decisions: 126041
iteration: 188; vars: 149652; clauses: 76218; decisions: 126471
iteration: 189; vars: 150438; clauses: 78258; decisions: 126766
iteration: 190; vars: 151224; clauses: 80298; decisions: 127234
iteration: 191; vars: 152010; clauses: 82338; decisions: 127555
iteration: 192; vars: 152796; clauses: 84378; decisions: 128359
iteration: 193; vars: 153582; clauses: 86414; decisions: 128780
iteration: 194; vars: 154368; clauses: 88450; decisions: 130361
iteration: 195; vars: 155154; clauses: 90482; decisions: 130819
iteration: 196; vars: 155940; clauses: 92514; decisions: 131293
iteration: 197; vars: 156726; clauses: 94550; decisions: 131643
iteration: 198; vars: 157512; clauses: 96586; decisions: 132487
iteration: 199; vars: 158298; clauses: 98614; decisions: 133584
iteration: 200; vars: 159084; clauses: 100642; decisions: 134213
iteration: 201; vars: 159870; clauses: 102670; decisions: 135179
iteration: 202; vars: 160656; clauses: 104698; decisions: 135737
iteration: 203; vars: 161442; clauses: 106722; decisions: 136080
iteration: 204; vars: 162228; clauses: 108746; decisions: 136801
iteration: 205; vars: 163014; clauses: 110762; decisions: 137278
iteration: 206; vars: 163800; clauses: 112770; decisions: 137621
