inputs=128 keys=62 outputs=1 gates=313
iteration: 1; vars: 2130; clauses: 1886; decisions: 888
iteration: 2; vars: 2754; clauses: 3624; decisions: 2042
iteration: 3; vars: 3378; clauses: 2635; decisions: 6293
iteration: 4; vars: 4002; clauses: 4373; decisions: 6719
iteration: 5; vars: 4626; clauses: 3122; decisions: 7159
iteration: 6; vars: 5250; clauses: 4860; decisions: 7792
iteration: 7; vars: 5874; clauses: 6598; decisions: 8022
iteration: 8; vars: 6498; clauses: 4035; decisions: 9442
iteration: 9; vars: 7122; clauses: 5773; decisions: 9836
iteration: 10; vars: 7746; clauses: 7511; decisions: 10375
iteration: 11; vars: 8370; clauses: 4772; decisions: 10612
iteration: 12; vars: 8994; clauses: 6510; decisions: 11054
iteration: 13; vars: 9618; clauses: 8248; decisions: 11504
iteration: 14; vars: 10242; clauses: 5626; decisions: 12158
iteration: 15; vars: 10866; clauses: 7364; decisions: 12393
iteration: 16; vars: 11490; clauses: 9102; decisions: 13095
iteration: 17; vars: 12114; clauses: 6512; decisions: 13506
iteration: 18; vars: 12738; clauses: 8250; decisions: 14208
iteration: 19; vars: 13362; clauses: 9988; decisions: 14639
iteration: 20; vars: 13986; clauses: 11726; decisions: 15095
iteration: 21; vars: 14610; clauses: 7656; decisions: 15674
iteration: 22; vars: 15234; clauses: 9394; decisions: 15898
iteration: 23; vars: 15858; clauses: 11132; decisions: 16486
iteration: 24; vars: 16482; clauses: 12870; decisions: 16958
iteration: 25; vars: 17106; clauses: 8873; decisions: 17188
iteration: 26; vars: 17730; clauses: 10611; decisions: 17470
iteration: 27; vars: 18354; clauses: 12349; decisions: 18449
iteration: 28; vars: 18978; clauses: 14087; decisions: 18680
iteration: 29; vars: 19602; clauses: 10071; decisions: 18902
iteration: 30; vars: 20226; clauses: 11809; decisions: 19228
iteration: 31; vars: 20850; clauses: 13547; decisions: 19824
iteration: 32; vars: 21474; clauses: 15285; decisions: 20058
iteration: 33; vars: 22098; clauses: 17023; decisions: 20610
