inputs=128 keys=23 outputs=1 gates=196
iteration: 1; vars: 1350; clauses: 757; decisions: 591
iteration: 2; vars: 1740; clauses: 1637; decisions: 752
iteration: 3; vars: 2130; clauses: 2517; decisions: 854
iteration: 4; vars: 2520; clauses: 1026; decisions: 1032
iteration: 5; vars: 2910; clauses: 1906; decisions: 1374
iteration: 6; vars: 3300; clauses: 2786; decisions: 1521
iteration: 7; vars: 3690; clauses: 1345; decisions: 1695
iteration: 8; vars: 4080; clauses: 2225; decisions: 2003
iteration: 9; vars: 4470; clauses: 3105; decisions: 2236
iteration: 10; vars: 4860; clauses: 1638; decisions: 2367
iteration: 11; vars: 5250; clauses: 2518; decisions: 2478
iteration: 12; vars: 5640; clauses: 3398; decisions: 2585
iteration: 13; vars: 6030; clauses: 4278; decisions: 2730
iteration: 14; vars: 6420; clauses: 2074; decisions: 2942
iteration: 15; vars: 6810; clauses: 2954; decisions: 3072
iteration: 16; vars: 7200; clauses: 3834; decisions: 3238
iteration: 17; vars: 7590; clauses: 4714; decisions: 3413
iteration: 18; vars: 7980; clauses: 2573; decisions: 3587
iteration: 19; vars: 8370; clauses: 3453; decisions: 3755
iteration: 20; vars: 8760; clauses: 4333; decisions: 3955
iteration: 21; vars: 9150; clauses: 5213; decisions: 4085
iteration: 22; vars: 9540; clauses: 3023; decisions: 4344
iteration: 23; vars: 9930; clauses: 3903; decisions: 4483
iteration: 24; vars: 10320; clauses: 4783; decisions: 4724
iteration: 25; vars: 10710; clauses: 5663; decisions: 4878
iteration: 26; vars: 11100; clauses: 6543; decisions: 5173
iteration: 27; vars: 11490; clauses: 3476; decisions: 5336
iteration: 28; vars: 11880; clauses: 4356; decisions: 5509
iteration: 29; vars: 12270; clauses: 5236; decisions: 5722
iteration: 30; vars: 12660; clauses: 6116; decisions: 5938
iteration: 31; vars: 13050; clauses: 6996; decisions: 6072
iteration: 32; vars: 13440; clauses: 7876; decisions: 6255
iteration: 33; vars: 13830; clauses: 3932; decisions: 6386
iteration: 34; vars: 14220; clauses: 4812; decisions: 6619
iteration: 35; vars: 14610; clauses: 5692; decisions: 6748
iteration: 36; vars: 15000; clauses: 6572; decisions: 6900
iteration: 37; vars: 15390; clauses: 7452; decisions: 7057
iteration: 38; vars: 15780; clauses: 8332; decisions: 7266
iteration: 39; vars: 16170; clauses: 4394; decisions: 7548
iteration: 40; vars: 16560; clauses: 5274; decisions: 7715
iteration: 41; vars: 16950; clauses: 6154; decisions: 7869
iteration: 42; vars: 17340; clauses: 7034; decisions: 7994
iteration: 43; vars: 17730; clauses: 7914; decisions: 8117
iteration: 44; vars: 18120; clauses: 8794; decisions: 8204
iteration: 45; vars: 18510; clauses: 4925; decisions: 8289
iteration: 46; vars: 18900; clauses: 5805; decisions: 8371
iteration: 47; vars: 19290; clauses: 6685; decisions: 8469
iteration: 48; vars: 19680; clauses: 7565; decisions: 8540
iteration: 49; vars: 20070; clauses: 8445; decisions: 8621
iteration: 50; vars: 20460; clauses: 9325; decisions: 8823
iteration: 51; vars: 20850; clauses: 10205; decisions: 8961
iteration: 52; vars: 21240; clauses: 5643; decisions: 9037
iteration: 53; vars: 21630; clauses: 6523; decisions: 9167
iteration: 54; vars: 22020; clauses: 7403; decisions: 9247
iteration: 55; vars: 22410; clauses: 8283; decisions: 9440
iteration: 56; vars: 22800; clauses: 9163; decisions: 9837
iteration: 57; vars: 23190; clauses: 10043; decisions: 9956
iteration: 58; vars: 23580; clauses: 10923; decisions: 10109
iteration: 59; vars: 23970; clauses: 6260; decisions: 10198
iteration: 60; vars: 24360; clauses: 7140; decisions: 10273
iteration: 61; vars: 24750; clauses: 8020; decisions: 10359
iteration: 62; vars: 25140; clauses: 8900; decisions: 10489
iteration: 63; vars: 25530; clauses: 9780; decisions: 10661
iteration: 64; vars: 25920; clauses: 10660; decisions: 10746
iteration: 65; vars: 26310; clauses: 11540; decisions: 10947
iteration: 66; vars: 26700; clauses: 12420; decisions: 11050
iteration: 67; vars: 27090; clauses: 6989; decisions: 11184
iteration: 68; vars: 27480; clauses: 7869; decisions: 11339
iteration: 69; vars: 27870; clauses: 8749; decisions: 11476
iteration: 70; vars: 28260; clauses: 9629; decisions: 11542
iteration: 71; vars: 28650; clauses: 10509; decisions: 11639
iteration: 72; vars: 29040; clauses: 11389; decisions: 11866
iteration: 73; vars: 29430; clauses: 12269; decisions: 12105
iteration: 74; vars: 29820; clauses: 13149; decisions: 12313
iteration: 75; vars: 30210; clauses: 14029; decisions: 12392
iteration: 76; vars: 30600; clauses: 7880; decisions: 12616
iteration: 77; vars: 30990; clauses: 8760; decisions: 12709
