inputs=128 keys=26 outputs=1 gates=205
iteration: 1; vars: 1410; clauses: 834; decisions: 353
iteration: 2; vars: 1818; clauses: 1780; decisions: 867
iteration: 3; vars: 2226; clauses: 1127; decisions: 1392
iteration: 4; vars: 2634; clauses: 2073; decisions: 1572
iteration: 5; vars: 3042; clauses: 3019; decisions: 1720
iteration: 6; vars: 3450; clauses: 1448; decisions: 2084
iteration: 7; vars: 3858; clauses: 2394; decisions: 2255
iteration: 8; vars: 4266; clauses: 3340; decisions: 2592
iteration: 9; vars: 4674; clauses: 1776; decisions: 2971
iteration: 10; vars: 5082; clauses: 2722; decisions: 3144
iteration: 11; vars: 5490; clauses: 3668; decisions: 3308
iteration: 12; vars: 5898; clauses: 2089; decisions: 3710
iteration: 13; vars: 6306; clauses: 3035; decisions: 3864
iteration: 14; vars: 6714; clauses: 3981; decisions: 4061
iteration: 15; vars: 7122; clauses: 4927; decisions: 4306
iteration: 16; vars: 7530; clauses: 2541; decisions: 4633
iteration: 17; vars: 7938; clauses: 3487; decisions: 4790
iteration: 18; vars: 8346; clauses: 4433; decisions: 4989
iteration: 19; vars: 8754; clauses: 5379; decisions: 5419
iteration: 20; vars: 9162; clauses: 2936; decisions: 5792
iteration: 21; vars: 9570; clauses: 3882; decisions: 5962
iteration: 22; vars: 9978; clauses: 4828; decisions: 6162
iteration: 23; vars: 10386; clauses: 5774; decisions: 6351
iteration: 24; vars: 10794; clauses: 3434; decisions: 6599
iteration: 25; vars: 11202; clauses: 4380; decisions: 6797
iteration: 26; vars: 11610; clauses: 5326; decisions: 6919
iteration: 27; vars: 12018; clauses: 6272; decisions: 7121
iteration: 28; vars: 12426; clauses: 7218; decisions: 7256
iteration: 29; vars: 12834; clauses: 4033; decisions: 7538
iteration: 30; vars: 13242; clauses: 4979; decisions: 7639
iteration: 31; vars: 13650; clauses: 5925; decisions: 7741
iteration: 32; vars: 14058; clauses: 6871; decisions: 7844
iteration: 33; vars: 14466; clauses: 7817; decisions: 7947
iteration: 34; vars: 14874; clauses: 4587; decisions: 8031
iteration: 35; vars: 15282; clauses: 5533; decisions: 8181
iteration: 36; vars: 15690; clauses: 6479; decisions: 8404
iteration: 37; vars: 16098; clauses: 7425; decisions: 9173
iteration: 38; vars: 16506; clauses: 8371; decisions: 9265
iteration: 39; vars: 16914; clauses: 9317; decisions: 9549
iteration: 40; vars: 17322; clauses: 5247; decisions: 9646
iteration: 41; vars: 17730; clauses: 6193; decisions: 9747
iteration: 42; vars: 18138; clauses: 7139; decisions: 9840
iteration: 43; vars: 18546; clauses: 8085; decisions: 10236
iteration: 44; vars: 18954; clauses: 9031; decisions: 10317
iteration: 45; vars: 19362; clauses: 9977; decisions: 10396
iteration: 46; vars: 19770; clauses: 5922; decisions: 10593
iteration: 47; vars: 20178; clauses: 6868; decisions: 10843
iteration: 48; vars: 20586; clauses: 7814; decisions: 11024
iteration: 49; vars: 20994; clauses: 8760; decisions: 11768
iteration: 50; vars: 21402; clauses: 9706; decisions: 11980
iteration: 51; vars: 21810; clauses: 10652; decisions: 12365
iteration: 52; vars: 22218; clauses: 5946; decisions: 12608
iteration: 53; vars: 22626; clauses: 6890; decisions: 12768
iteration: 54; vars: 23034; clauses: 7834; decisions: 12881
iteration: 55; vars: 23442; clauses: 8778; decisions: 12970
iteration: 56; vars: 23850; clauses: 9722; decisions: 13442
iteration: 57; vars: 24258; clauses: 10666; decisions: 13835
iteration: 58; vars: 24666; clauses: 11610; decisions: 14088
iteration: 59; vars: 25074; clauses: 6575; decisions: 14245
iteration: 60; vars: 25482; clauses: 7519; decisions: 14993
iteration: 61; vars: 25890; clauses: 8461; decisions: 15036
iteration: 62; vars: 26298; clauses: 9403; decisions: 15157
iteration: 63; vars: 26706; clauses: 10345; decisions: 15225
iteration: 64; vars: 27114; clauses: 11287; decisions: 15300
iteration: 65; vars: 27522; clauses: 12229; decisions: 15433
iteration: 66; vars: 27930; clauses: 6692; decisions: 15679
iteration: 67; vars: 28338; clauses: 7634; decisions: 15798
iteration: 68; vars: 28746; clauses: 8576; decisions: 16062
iteration: 69; vars: 29154; clauses: 9516; decisions: 16191
iteration: 70; vars: 29562; clauses: 10456; decisions: 16261
iteration: 71; vars: 29970; clauses: 11396; decisions: 16386
iteration: 72; vars: 30378; clauses: 12336; decisions: 16502
finished solver loop. fail_count = 0
key=10110011100000111011101111
iteration=72; backbones_count=0; cube_count=78532; cpu_time=6.57977; maxrss=21.6641
