inputs=128 keys=52 outputs=1 gates=283
iteration: 1; vars: 1930; clauses: 1597; decisions: 1096
iteration: 2; vars: 2494; clauses: 3115; decisions: 2123
iteration: 3; vars: 3058; clauses: 2039; decisions: 2835
iteration: 4; vars: 3622; clauses: 3557; decisions: 3202
iteration: 5; vars: 4186; clauses: 5075; decisions: 3492
iteration: 6; vars: 4750; clauses: 2545; decisions: 3930
iteration: 7; vars: 5314; clauses: 4063; decisions: 4315
iteration: 8; vars: 5878; clauses: 5581; decisions: 4625
iteration: 9; vars: 6442; clauses: 3184; decisions: 4881
iteration: 10; vars: 7006; clauses: 4702; decisions: 5183
iteration: 11; vars: 7570; clauses: 6220; decisions: 5462
iteration: 12; vars: 8134; clauses: 3771; decisions: 6052
iteration: 13; vars: 8698; clauses: 5289; decisions: 6281
iteration: 14; vars: 9262; clauses: 6807; decisions: 6839
iteration: 15; vars: 9826; clauses: 4386; decisions: 7211
iteration: 16; vars: 10390; clauses: 5904; decisions: 7467
iteration: 17; vars: 10954; clauses: 7422; decisions: 8297
iteration: 18; vars: 11518; clauses: 5039; decisions: 8759
iteration: 19; vars: 12082; clauses: 6557; decisions: 8969
iteration: 20; vars: 12646; clauses: 8075; decisions: 9319
iteration: 21; vars: 13210; clauses: 9593; decisions: 9545
iteration: 22; vars: 13774; clauses: 5865; decisions: 9808
iteration: 23; vars: 14338; clauses: 7383; decisions: 10057
iteration: 24; vars: 14902; clauses: 8901; decisions: 10590
iteration: 25; vars: 15466; clauses: 10419; decisions: 10774
iteration: 26; vars: 16030; clauses: 6666; decisions: 10976
iteration: 27; vars: 16594; clauses: 8184; decisions: 11530
iteration: 28; vars: 17158; clauses: 9702; decisions: 11735
iteration: 29; vars: 17722; clauses: 11220; decisions: 12050
iteration: 30; vars: 18286; clauses: 12738; decisions: 12233
iteration: 31; vars: 18850; clauses: 7653; decisions: 12419
iteration: 32; vars: 19414; clauses: 9171; decisions: 12631
iteration: 33; vars: 19978; clauses: 10689; decisions: 12812
iteration: 34; vars: 20542; clauses: 12207; decisions: 13017
iteration: 35; vars: 21106; clauses: 13725; decisions: 13228
iteration: 36; vars: 21670; clauses: 8638; decisions: 13414
iteration: 37; vars: 22234; clauses: 10156; decisions: 14052
iteration: 38; vars: 22798; clauses: 11674; decisions: 14246
iteration: 39; vars: 23362; clauses: 13192; decisions: 14444
iteration: 40; vars: 23926; clauses: 14710; decisions: 14634
iteration: 41; vars: 24490; clauses: 9694; decisions: 14824
iteration: 42; vars: 25054; clauses: 11212; decisions: 15176
iteration: 43; vars: 25618; clauses: 12730; decisions: 15720
iteration: 44; vars: 26182; clauses: 14248; decisions: 16545
iteration: 45; vars: 26746; clauses: 15766; decisions: 16905
iteration: 46; vars: 27310; clauses: 17284; decisions: 17770
iteration: 47; vars: 27874; clauses: 10974; decisions: 17962
iteration: 48; vars: 28438; clauses: 12492; decisions: 18321
iteration: 49; vars: 29002; clauses: 14010; decisions: 18584
iteration: 50; vars: 29566; clauses: 15528; decisions: 19212
iteration: 51; vars: 30130; clauses: 17046; decisions: 19415
iteration: 52; vars: 30694; clauses: 18564; decisions: 19875
iteration: 53; vars: 31258; clauses: 20082; decisions: 20146
iteration: 54; vars: 31822; clauses: 12445; decisions: 20310
iteration: 55; vars: 32386; clauses: 13963; decisions: 20498
iteration: 56; vars: 32950; clauses: 15481; decisions: 21597
iteration: 57; vars: 33514; clauses: 16999; decisions: 21837
iteration: 58; vars: 34078; clauses: 18517; decisions: 22060
iteration: 59; vars: 34642; clauses: 20035; decisions: 22655
iteration: 60; vars: 35206; clauses: 21553; decisions: 22830
iteration: 61; vars: 35770; clauses: 14211; decisions: 23002
iteration: 62; vars: 36334; clauses: 15729; decisions: 23341
iteration: 63; vars: 36898; clauses: 17247; decisions: 23836
iteration: 64; vars: 37462; clauses: 18765; decisions: 24053
iteration: 65; vars: 38026; clauses: 20283; decisions: 24241
iteration: 66; vars: 38590; clauses: 21801; decisions: 24498
iteration: 67; vars: 39154; clauses: 23319; decisions: 24918
iteration: 68; vars: 39718; clauses: 16086; decisions: 25166
iteration: 69; vars: 40282; clauses: 17604; decisions: 25473
iteration: 70; vars: 40846; clauses: 19122; decisions: 25939
iteration: 71; vars: 41410; clauses: 20640; decisions: 26994
iteration: 72; vars: 41974; clauses: 22158; decisions: 27409
iteration: 73; vars: 42538; clauses: 23676; decisions: 27811
iteration: 74; vars: 43102; clauses: 25194; decisions: 28079
iteration: 75; vars: 43666; clauses: 26712; decisions: 28681
iteration: 76; vars: 44230; clauses: 28230; decisions: 28875
iteration: 77; vars: 44794; clauses: 18065; decisions: 29097
iteration: 78; vars: 45358; clauses: 19583; decisions: 29288
iteration: 79; vars: 45922; clauses: 21101; decisions: 29473
iteration: 80; vars: 46486; clauses: 22619; decisions: 30529
iteration: 81; vars: 47050; clauses: 24137; decisions: 30939
iteration: 82; vars: 47614; clauses: 25655; decisions: 31138
iteration: 83; vars: 48178; clauses: 27173; decisions: 31766
iteration: 84; vars: 48742; clauses: 28691; decisions: 31955
iteration: 85; vars: 49306; clauses: 30209; decisions: 32320
iteration: 86; vars: 49870; clauses: 31727; decisions: 33526
iteration: 87; vars: 50434; clauses: 20191; decisions: 33963
iteration: 88; vars: 50998; clauses: 21709; decisions: 34129
