inputs=128 keys=51 outputs=1 gates=280
iteration: 1; vars: 1910; clauses: 1569; decisions: 1054
iteration: 2; vars: 2468; clauses: 3065; decisions: 3119
iteration: 3; vars: 3026; clauses: 2058; decisions: 3501
iteration: 4; vars: 3584; clauses: 3554; decisions: 4130
iteration: 5; vars: 4142; clauses: 2594; decisions: 4545
iteration: 6; vars: 4700; clauses: 4090; decisions: 4818
iteration: 7; vars: 5258; clauses: 5586; decisions: 5123
iteration: 8; vars: 5816; clauses: 3427; decisions: 5822
iteration: 9; vars: 6374; clauses: 4923; decisions: 6076
iteration: 10; vars: 6932; clauses: 6419; decisions: 6700
iteration: 11; vars: 7490; clauses: 4157; decisions: 7318
iteration: 12; vars: 8048; clauses: 5653; decisions: 7737
iteration: 13; vars: 8606; clauses: 7149; decisions: 8025
iteration: 14; vars: 9164; clauses: 4847; decisions: 8235
iteration: 15; vars: 9722; clauses: 6343; decisions: 8591
iteration: 16; vars: 10280; clauses: 7839; decisions: 8973
iteration: 17; vars: 10838; clauses: 9335; decisions: 9368
iteration: 18; vars: 11396; clauses: 5846; decisions: 9635
iteration: 19; vars: 11954; clauses: 7342; decisions: 10084
iteration: 20; vars: 12512; clauses: 8838; decisions: 10372
iteration: 21; vars: 13070; clauses: 10334; decisions: 10736
iteration: 22; vars: 13628; clauses: 6807; decisions: 11162
iteration: 23; vars: 14186; clauses: 8303; decisions: 11371
iteration: 24; vars: 14744; clauses: 9799; decisions: 11574
iteration: 25; vars: 15302; clauses: 11295; decisions: 12646
iteration: 26; vars: 15860; clauses: 12791; decisions: 12997
iteration: 27; vars: 16418; clauses: 7936; decisions: 13233
iteration: 28; vars: 16976; clauses: 9432; decisions: 13451
iteration: 29; vars: 17534; clauses: 10928; decisions: 14209
iteration: 30; vars: 18092; clauses: 12424; decisions: 14627
iteration: 31; vars: 18650; clauses: 13920; decisions: 14872
iteration: 32; vars: 19208; clauses: 9059; decisions: 15095
iteration: 33; vars: 19766; clauses: 10555; decisions: 15326
iteration: 34; vars: 20324; clauses: 12051; decisions: 15555
iteration: 35; vars: 20882; clauses: 13547; decisions: 15894
iteration: 36; vars: 21440; clauses: 15043; decisions: 16609
iteration: 37; vars: 21998; clauses: 16539; decisions: 17685
iteration: 38; vars: 22556; clauses: 10445; decisions: 17896
iteration: 39; vars: 23114; clauses: 11941; decisions: 18395
iteration: 40; vars: 23672; clauses: 13437; decisions: 18606
iteration: 41; vars: 24230; clauses: 14933; decisions: 18834
iteration: 42; vars: 24788; clauses: 16429; decisions: 19741
iteration: 43; vars: 25346; clauses: 17925; decisions: 20080
iteration: 44; vars: 25904; clauses: 11782; decisions: 20602
iteration: 45; vars: 26462; clauses: 13278; decisions: 21048
iteration: 46; vars: 27020; clauses: 14774; decisions: 21656
iteration: 47; vars: 27578; clauses: 16270; decisions: 21870
iteration: 48; vars: 28136; clauses: 17766; decisions: 22084
iteration: 49; vars: 28694; clauses: 19262; decisions: 22407
iteration: 50; vars: 29252; clauses: 20758; decisions: 23029
iteration: 51; vars: 29810; clauses: 13390; decisions: 23476
iteration: 52; vars: 30368; clauses: 14886; decisions: 23726
iteration: 53; vars: 30926; clauses: 16382; decisions: 23904
iteration: 54; vars: 31484; clauses: 17878; decisions: 24066
iteration: 55; vars: 32042; clauses: 19374; decisions: 24553
iteration: 56; vars: 32600; clauses: 20870; decisions: 24855
iteration: 57; vars: 33158; clauses: 22366; decisions: 25688
iteration: 58; vars: 33716; clauses: 23862; decisions: 27214
iteration: 59; vars: 34274; clauses: 15273; decisions: 27625
iteration: 60; vars: 34832; clauses: 16769; decisions: 27919
iteration: 61; vars: 35390; clauses: 18265; decisions: 28091
iteration: 62; vars: 35948; clauses: 19761; decisions: 28538
iteration: 63; vars: 36506; clauses: 21257; decisions: 28974
iteration: 64; vars: 37064; clauses: 22753; decisions: 29175
iteration: 65; vars: 37622; clauses: 24249; decisions: 30024
iteration: 66; vars: 38180; clauses: 25745; decisions: 31287
iteration: 67; vars: 38738; clauses: 17355; decisions: 31438
iteration: 68; vars: 39296; clauses: 18851; decisions: 31595
iteration: 69; vars: 39854; clauses: 20347; decisions: 32927
iteration: 70; vars: 40412; clauses: 21843; decisions: 33126
iteration: 71; vars: 40970; clauses: 23339; decisions: 33321
iteration: 72; vars: 41528; clauses: 24835; decisions: 33519
iteration: 73; vars: 42086; clauses: 26331; decisions: 33751
iteration: 74; vars: 42644; clauses: 27827; decisions: 33972
iteration: 75; vars: 43202; clauses: 29323; decisions: 34216
iteration: 76; vars: 43760; clauses: 19565; decisions: 34777
iteration: 77; vars: 44318; clauses: 21061; decisions: 34967
iteration: 78; vars: 44876; clauses: 22557; decisions: 35871
iteration: 79; vars: 45434; clauses: 24053; decisions: 36138
iteration: 80; vars: 45992; clauses: 25549; decisions: 36355
iteration: 81; vars: 46550; clauses: 27045; decisions: 37015
iteration: 82; vars: 47108; clauses: 28541; decisions: 37591
iteration: 83; vars: 47666; clauses: 30037; decisions: 38841
iteration: 84; vars: 48224; clauses: 31533; decisions: 39801
iteration: 85; vars: 48782; clauses: 33029; decisions: 39989
iteration: 86; vars: 49340; clauses: 34525; decisions: 40371
iteration: 87; vars: 49898; clauses: 22181; decisions: 40928
iteration: 88; vars: 50456; clauses: 23677; decisions: 41168
iteration: 89; vars: 51014; clauses: 25173; decisions: 41505
iteration: 90; vars: 51572; clauses: 26669; decisions: 41951
iteration: 91; vars: 52130; clauses: 28165; decisions: 42231
iteration: 92; vars: 52688; clauses: 29661; decisions: 42901
