inputs=128 keys=30 outputs=1 gates=217
iteration: 1; vars: 1490; clauses: 951; decisions: 575
iteration: 2; vars: 1922; clauses: 1985; decisions: 1021
iteration: 3; vars: 2354; clauses: 1275; decisions: 1614
iteration: 4; vars: 2786; clauses: 2309; decisions: 1794
iteration: 5; vars: 3218; clauses: 3343; decisions: 1984
iteration: 6; vars: 3650; clauses: 1733; decisions: 2538
iteration: 7; vars: 4082; clauses: 2767; decisions: 2773
iteration: 8; vars: 4514; clauses: 3801; decisions: 2986
iteration: 9; vars: 4946; clauses: 2094; decisions: 3276
iteration: 10; vars: 5378; clauses: 3128; decisions: 3579
iteration: 11; vars: 5810; clauses: 4162; decisions: 3880
iteration: 12; vars: 6242; clauses: 2498; decisions: 4219
iteration: 13; vars: 6674; clauses: 3532; decisions: 4397
iteration: 14; vars: 7106; clauses: 4566; decisions: 4551
iteration: 15; vars: 7538; clauses: 5600; decisions: 4914
iteration: 16; vars: 7970; clauses: 2981; decisions: 5615
iteration: 17; vars: 8402; clauses: 4015; decisions: 5736
iteration: 18; vars: 8834; clauses: 5049; decisions: 5865
iteration: 19; vars: 9266; clauses: 6083; decisions: 6189
iteration: 20; vars: 9698; clauses: 3421; decisions: 6570
iteration: 21; vars: 10130; clauses: 4455; decisions: 6730
iteration: 22; vars: 10562; clauses: 5489; decisions: 7016
iteration: 23; vars: 10994; clauses: 6523; decisions: 7655
iteration: 24; vars: 11426; clauses: 3942; decisions: 7778
iteration: 25; vars: 11858; clauses: 4976; decisions: 7908
iteration: 26; vars: 12290; clauses: 6010; decisions: 8203
iteration: 27; vars: 12722; clauses: 7044; decisions: 8347
iteration: 28; vars: 13154; clauses: 8078; decisions: 8488
iteration: 29; vars: 13586; clauses: 4587; decisions: 8672
iteration: 30; vars: 14018; clauses: 5621; decisions: 8814
iteration: 31; vars: 14450; clauses: 6655; decisions: 8965
iteration: 32; vars: 14882; clauses: 7689; decisions: 9115
iteration: 33; vars: 15314; clauses: 8723; decisions: 9315
iteration: 34; vars: 15746; clauses: 5333; decisions: 9442
iteration: 35; vars: 16178; clauses: 6367; decisions: 9749
iteration: 36; vars: 16610; clauses: 7401; decisions: 9938
iteration: 37; vars: 17042; clauses: 8435; decisions: 10095
iteration: 38; vars: 17474; clauses: 9469; decisions: 10925
iteration: 39; vars: 17906; clauses: 6119; decisions: 11054
iteration: 40; vars: 18338; clauses: 7153; decisions: 11339
iteration: 41; vars: 18770; clauses: 8187; decisions: 11706
iteration: 42; vars: 19202; clauses: 9221; decisions: 12269
iteration: 43; vars: 19634; clauses: 10255; decisions: 12346
iteration: 44; vars: 20066; clauses: 11289; decisions: 12747
iteration: 45; vars: 20498; clauses: 7099; decisions: 12853
iteration: 46; vars: 20930; clauses: 8133; decisions: 13224
iteration: 47; vars: 21362; clauses: 9167; decisions: 13430
iteration: 48; vars: 21794; clauses: 10201; decisions: 13538
iteration: 49; vars: 22226; clauses: 11235; decisions: 13750
iteration: 50; vars: 22658; clauses: 12269; decisions: 14064
iteration: 51; vars: 23090; clauses: 13303; decisions: 14193
iteration: 52; vars: 23522; clauses: 8106; decisions: 15081
iteration: 53; vars: 23954; clauses: 9140; decisions: 15209
iteration: 54; vars: 24386; clauses: 10174; decisions: 15322
iteration: 55; vars: 24818; clauses: 11208; decisions: 15424
iteration: 56; vars: 25250; clauses: 12242; decisions: 15690
iteration: 57; vars: 25682; clauses: 13276; decisions: 16001
iteration: 58; vars: 26114; clauses: 14310; decisions: 16519
iteration: 59; vars: 26546; clauses: 15344; decisions: 16697
iteration: 60; vars: 26978; clauses: 9121; decisions: 16804
iteration: 61; vars: 27410; clauses: 10155; decisions: 16956
iteration: 62; vars: 27842; clauses: 11189; decisions: 17111
iteration: 63; vars: 28274; clauses: 12223; decisions: 17630
iteration: 64; vars: 28706; clauses: 13255; decisions: 17867
iteration: 65; vars: 29138; clauses: 14287; decisions: 18040
iteration: 66; vars: 29570; clauses: 15319; decisions: 18144
iteration: 67; vars: 30002; clauses: 16351; decisions: 18252
iteration: 68; vars: 30434; clauses: 9547; decisions: 18344
iteration: 69; vars: 30866; clauses: 10579; decisions: 18612
iteration: 70; vars: 31298; clauses: 11611; decisions: 19054
