inputs=128 keys=32 outputs=1 gates=223
iteration: 1; vars: 1530; clauses: 1009; decisions: 630
iteration: 2; vars: 1974; clauses: 2087; decisions: 1322
iteration: 3; vars: 2418; clauses: 1367; decisions: 1915
iteration: 4; vars: 2862; clauses: 2445; decisions: 2411
iteration: 5; vars: 3306; clauses: 3523; decisions: 2765
iteration: 6; vars: 3750; clauses: 1828; decisions: 3357
iteration: 7; vars: 4194; clauses: 2906; decisions: 3632
iteration: 8; vars: 4638; clauses: 3984; decisions: 4496
iteration: 9; vars: 5082; clauses: 2152; decisions: 5008
iteration: 10; vars: 5526; clauses: 3230; decisions: 5177
iteration: 11; vars: 5970; clauses: 4308; decisions: 5686
iteration: 12; vars: 6414; clauses: 2524; decisions: 6017
iteration: 13; vars: 6858; clauses: 3602; decisions: 6188
iteration: 14; vars: 7302; clauses: 4680; decisions: 6538
iteration: 15; vars: 7746; clauses: 3029; decisions: 6798
iteration: 16; vars: 8190; clauses: 4107; decisions: 6957
iteration: 17; vars: 8634; clauses: 5185; decisions: 7118
iteration: 18; vars: 9078; clauses: 6263; decisions: 7372
iteration: 19; vars: 9522; clauses: 3702; decisions: 7812
iteration: 20; vars: 9966; clauses: 4780; decisions: 7971
iteration: 21; vars: 10410; clauses: 5858; decisions: 8142
iteration: 22; vars: 10854; clauses: 6936; decisions: 8461
iteration: 23; vars: 11298; clauses: 4292; decisions: 8664
iteration: 24; vars: 11742; clauses: 5370; decisions: 8835
iteration: 25; vars: 12186; clauses: 6448; decisions: 9220
iteration: 26; vars: 12630; clauses: 7526; decisions: 9366
iteration: 27; vars: 13074; clauses: 4951; decisions: 9647
iteration: 28; vars: 13518; clauses: 6029; decisions: 9754
iteration: 29; vars: 13962; clauses: 7107; decisions: 10327
iteration: 30; vars: 14406; clauses: 8185; decisions: 10427
iteration: 31; vars: 14850; clauses: 9263; decisions: 10702
iteration: 32; vars: 15294; clauses: 5705; decisions: 10773
iteration: 33; vars: 15738; clauses: 6783; decisions: 10966
iteration: 34; vars: 16182; clauses: 7861; decisions: 12344
iteration: 35; vars: 16626; clauses: 8939; decisions: 12600
iteration: 36; vars: 17070; clauses: 10017; decisions: 12868
iteration: 37; vars: 17514; clauses: 6475; decisions: 13016
iteration: 38; vars: 17958; clauses: 7553; decisions: 13162
iteration: 39; vars: 18402; clauses: 8631; decisions: 13325
iteration: 40; vars: 18846; clauses: 9709; decisions: 13912
iteration: 41; vars: 19290; clauses: 10787; decisions: 14026
iteration: 42; vars: 19734; clauses: 11865; decisions: 14343
iteration: 43; vars: 20178; clauses: 7330; decisions: 14452
iteration: 44; vars: 20622; clauses: 8408; decisions: 15108
iteration: 45; vars: 21066; clauses: 9486; decisions: 15212
iteration: 46; vars: 21510; clauses: 10564; decisions: 15361
iteration: 47; vars: 21954; clauses: 11642; decisions: 15632
iteration: 48; vars: 22398; clauses: 12720; decisions: 16072
iteration: 49; vars: 22842; clauses: 13798; decisions: 16458
iteration: 50; vars: 23286; clauses: 8110; decisions: 16599
iteration: 51; vars: 23730; clauses: 9188; decisions: 16778
iteration: 52; vars: 24174; clauses: 10266; decisions: 16990
iteration: 53; vars: 24618; clauses: 11344; decisions: 17265
iteration: 54; vars: 25062; clauses: 12422; decisions: 17478
iteration: 55; vars: 25506; clauses: 13500; decisions: 18282
iteration: 56; vars: 25950; clauses: 14578; decisions: 18724
iteration: 57; vars: 26394; clauses: 9126; decisions: 18839
iteration: 58; vars: 26838; clauses: 10204; decisions: 19000
iteration: 59; vars: 27282; clauses: 11282; decisions: 19598
iteration: 60; vars: 27726; clauses: 12360; decisions: 20059
iteration: 61; vars: 28170; clauses: 13438; decisions: 21662
iteration: 62; vars: 28614; clauses: 14516; decisions: 22107
iteration: 63; vars: 29058; clauses: 15592; decisions: 22195
iteration: 64; vars: 29502; clauses: 16668; decisions: 22299
iteration: 65; vars: 29946; clauses: 9976; decisions: 22371
iteration: 66; vars: 30390; clauses: 11052; decisions: 23199
iteration: 67; vars: 30834; clauses: 12128; decisions: 23453
iteration: 68; vars: 31278; clauses: 13204; decisions: 23905
iteration: 69; vars: 31722; clauses: 14280; decisions: 23988
iteration: 70; vars: 32166; clauses: 15356; decisions: 24134
iteration: 71; vars: 32610; clauses: 16432; decisions: 24238
iteration: 72; vars: 33054; clauses: 17508; decisions: 24309
iteration: 73; vars: 33498; clauses: 10327; decisions: 24499
iteration: 74; vars: 33942; clauses: 11401; decisions: 24659
iteration: 75; vars: 34386; clauses: 12475; decisions: 24716
iteration: 76; vars: 34830; clauses: 13549; decisions: 24815
iteration: 77; vars: 35274; clauses: 14623; decisions: 24958
iteration: 78; vars: 35718; clauses: 15697; decisions: 25007
iteration: 79; vars: 36162; clauses: 16771; decisions: 25121
iteration: 80; vars: 36606; clauses: 17845; decisions: 25187
iteration: 81; vars: 37050; clauses: 11499; decisions: 25240
iteration: 82; vars: 37494; clauses: 12573; decisions: 26106
iteration: 83; vars: 37938; clauses: 13643; decisions: 26293
iteration: 84; vars: 38382; clauses: 14703; decisions: 26339
iteration: 85; vars: 38826; clauses: 15761; decisions: 26446
iteration: 86; vars: 39270; clauses: 16783; decisions: 26559
iteration: 87; vars: 39714; clauses: 17745; decisions: 26574
finished solver loop. fail_count = 0
key=10110011100000111011101111111111
iteration=87; backbones_count=0; cube_count=106258; cpu_time=3.73399; maxrss=7.3125
