inputs=128 keys=90 outputs=1 gates=397
iteration: 1; vars: 2690; clauses: 2591; decisions: 277
iteration: 2; vars: 3482; clauses: 4567; decisions: 1131
iteration: 3; vars: 4274; clauses: 3243; decisions: 1404
iteration: 4; vars: 5066; clauses: 5327; decisions: 2377
iteration: 5; vars: 5858; clauses: 4321; decisions: 3055
iteration: 6; vars: 6650; clauses: 6401; decisions: 4734
iteration: 7; vars: 7442; clauses: 5274; decisions: 5763
iteration: 8; vars: 8234; clauses: 7330; decisions: 7405
iteration: 9; vars: 9026; clauses: 9370; decisions: 8283
iteration: 10; vars: 9818; clauses: 6401; decisions: 8612
iteration: 11; vars: 10610; clauses: 8437; decisions: 8974
iteration: 12; vars: 11402; clauses: 10473; decisions: 9440
iteration: 13; vars: 12194; clauses: 7396; decisions: 10786
iteration: 14; vars: 12986; clauses: 9424; decisions: 11321
iteration: 15; vars: 13778; clauses: 11448; decisions: 11745
iteration: 16; vars: 14570; clauses: 8379; decisions: 12056
iteration: 17; vars: 15362; clauses: 10395; decisions: 12999
iteration: 18; vars: 16154; clauses: 12407; decisions: 13327
iteration: 19; vars: 16946; clauses: 14415; decisions: 13715
iteration: 20; vars: 17738; clauses: 9627; decisions: 14026
iteration: 21; vars: 18530; clauses: 11635; decisions: 14631
iteration: 22; vars: 19322; clauses: 13635; decisions: 15275
iteration: 23; vars: 20114; clauses: 15635; decisions: 15879
iteration: 24; vars: 20906; clauses: 10816; decisions: 16198
iteration: 25; vars: 21698; clauses: 12824; decisions: 16560
iteration: 26; vars: 22490; clauses: 14832; decisions: 17275
iteration: 27; vars: 23282; clauses: 16844; decisions: 17663
iteration: 28; vars: 24074; clauses: 18856; decisions: 18393
iteration: 29; vars: 24866; clauses: 12290; decisions: 18708
iteration: 30; vars: 25658; clauses: 14310; decisions: 19081
iteration: 31; vars: 26450; clauses: 16330; decisions: 19384
iteration: 32; vars: 27242; clauses: 18350; decisions: 20654
iteration: 33; vars: 28034; clauses: 20370; decisions: 22510
iteration: 34; vars: 28826; clauses: 13849; decisions: 22810
iteration: 35; vars: 29618; clauses: 15865; decisions: 23462
iteration: 36; vars: 30410; clauses: 17885; decisions: 24117
iteration: 37; vars: 31202; clauses: 19905; decisions: 24706
iteration: 38; vars: 31994; clauses: 21925; decisions: 25031
iteration: 39; vars: 32786; clauses: 15471; decisions: 25581
iteration: 40; vars: 33578; clauses: 17487; decisions: 26242
iteration: 41; vars: 34370; clauses: 19503; decisions: 28217
iteration: 42; vars: 35162; clauses: 21523; decisions: 28495
iteration: 43; vars: 35954; clauses: 23543; decisions: 30440
iteration: 44; vars: 36746; clauses: 25567; decisions: 30789
iteration: 45; vars: 37538; clauses: 17431; decisions: 31079
iteration: 46; vars: 38330; clauses: 19463; decisions: 31613
iteration: 47; vars: 39122; clauses: 21495; decisions: 32545
iteration: 48; vars: 39914; clauses: 23531; decisions: 33343
iteration: 49; vars: 40706; clauses: 25563; decisions: 33826
iteration: 50; vars: 41498; clauses: 27595; decisions: 35161
iteration: 51; vars: 42290; clauses: 19731; decisions: 35483
iteration: 52; vars: 43082; clauses: 21763; decisions: 35834
iteration: 53; vars: 43874; clauses: 23795; decisions: 36132
iteration: 54; vars: 44666; clauses: 25827; decisions: 39130
iteration: 55; vars: 45458; clauses: 27867; decisions: 39607
iteration: 56; vars: 46250; clauses: 29903; decisions: 40235
iteration: 57; vars: 47042; clauses: 31939; decisions: 41491
iteration: 58; vars: 47834; clauses: 22444; decisions: 42155
iteration: 59; vars: 48626; clauses: 24480; decisions: 42506
iteration: 60; vars: 49418; clauses: 26516; decisions: 43165
iteration: 61; vars: 50210; clauses: 28548; decisions: 43545
iteration: 62; vars: 51002; clauses: 30580; decisions: 44139
iteration: 63; vars: 51794; clauses: 32612; decisions: 45905
iteration: 64; vars: 52586; clauses: 34640; decisions: 46235
iteration: 65; vars: 53378; clauses: 36664; decisions: 46876
iteration: 66; vars: 54170; clauses: 25371; decisions: 47181
iteration: 67; vars: 54962; clauses: 27399; decisions: 47622
iteration: 68; vars: 55754; clauses: 29423; decisions: 48028
iteration: 69; vars: 56546; clauses: 31447; decisions: 48365
iteration: 70; vars: 57338; clauses: 33471; decisions: 49062
iteration: 71; vars: 58130; clauses: 35491; decisions: 49383
iteration: 72; vars: 58922; clauses: 37511; decisions: 49687
iteration: 73; vars: 59714; clauses: 39539; decisions: 49990
iteration: 74; vars: 60506; clauses: 41567; decisions: 50911
iteration: 75; vars: 61298; clauses: 29023; decisions: 51842
iteration: 76; vars: 62090; clauses: 31043; decisions: 52251
iteration: 77; vars: 62882; clauses: 33059; decisions: 52792
iteration: 78; vars: 63674; clauses: 35071; decisions: 53499
iteration: 79; vars: 64466; clauses: 37087; decisions: 53851
